Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Decision Tree 2,0.8870056497175142,0.8615819209039548,0.8107344632768362,0.8785310734463276,0.963276836158192,0.13043478260869565,0.1694915254237288,0.028985507246376812,0.044444444444444446,0.0,0.6363800578034682,0.6469298245614036,0.5094555873925501,0.5678571428571428,0.6980600045116174,0.8802259887005649,0.07467125194464916,0.6117365234252364,0.07362812902204033,"(np.float64(0.547), np.float64(0.676))"
Decision Tree 3,0.8870056497175142,0.8615819209039548,0.980225988700565,0.8785310734463276,0.96045197740113,0.13043478260869565,0.1694915254237288,0.0,0.044444444444444446,0.0,0.6363800578034682,0.734770955165692,0.5091690544412607,0.5846428571428571,0.6970448905932778,0.9135593220338982,0.06887415049537379,0.6324015630293112,0.08963987090914838,"(np.float64(0.554), np.float64(0.711))"
Decision Tree 4,0.9124293785310734,0.8757062146892656,0.9689265536723164,0.9152542372881356,0.96045197740113,0.11428571428571428,0.15384615384615385,0.0,0.0625,0.0,0.6595014450867052,0.7344054580896686,0.5624641833810888,0.5892857142857143,0.7230994811639972,0.9265536723163843,0.06612637362637362,0.6537512564014347,0.07719533181886243,"(np.float64(0.586), np.float64(0.721))"
Decision Tree 5,0.9124293785310734,0.8954802259887006,0.8757062146892656,0.9096045197740112,0.9519774011299436,0.11428571428571428,0.17777777777777778,0.043478260869565216,0.058823529411764705,0.41379310344827586,0.6853323699421967,0.6423001949317739,0.6882521489971347,0.6210714285714285,0.7622377622377623,0.909039548022599,0.16163167715861956,0.6798387809360593,0.05420632699465922,"(np.float64(0.632), np.float64(0.727))"
Decision Tree 6,0.9180790960451978,0.8785310734463276,0.9180790960451978,0.940677966101695,0.943502824858757,0.12121212121212122,0.1568627450980392,0.0,0.0,0.09090909090909091,0.6278901734104045,0.6120857699805069,0.6484240687679084,0.6117857142857143,0.7207308820212046,0.9197740112994351,0.07379679144385028,0.6441833216931477,0.045339931077817315,"(np.float64(0.604), np.float64(0.684))"
Decision Tree 7,0.8785310734463276,0.8926553672316384,0.8813559322033898,0.9011299435028248,0.943502824858757,0.12244897959183673,0.13636363636363635,0.045454545454545456,0.0,0.0,0.7754696531791907,0.6091617933723197,0.5570200573065902,0.49964285714285717,0.6628693886758403,0.8994350282485876,0.06085343228200372,0.6208327499353595,0.10556385736146637,"(np.float64(0.528), np.float64(0.713))"
Logistic Regression 0.5,0.9576271186440678,0.9548022598870056,0.9576271186440678,0.9689265536723164,0.9576271186440678,0.11764705882352941,0.2,0.0,0.15384615384615385,0.11764705882352941,0.698699421965318,0.6622807017543859,0.6034383954154727,0.5185714285714286,0.7020076697496053,0.9593220338983051,0.11782805429864254,0.636999523491242,0.07717453840174138,"(np.float64(0.569), np.float64(0.705))"
Logistic Regression 0.3,0.20056497175141244,0.2627118644067797,0.2401129943502825,0.22033898305084745,0.10734463276836158,0.04713804713804714,0.07773851590106007,0.02888086642599278,0.028169014084507043,0.07602339181286549,0.698699421965318,0.6622807017543859,0.6034383954154727,0.5185714285714286,0.7020076697496053,0.2062146892655367,0.051589967072494504,0.636999523491242,0.07717453840174138,"(np.float64(0.569), np.float64(0.705))"
Logistic Regression 0.03,0.022598870056497175,0.03389830508474576,0.014124293785310734,0.011299435028248588,0.03672316384180791,0.04419889502762431,0.06557377049180328,0.027855153203342618,0.0223463687150838,0.07084468664850137,0.698699421965318,0.6622807017543859,0.6034383954154727,0.5185714285714286,0.7020076697496053,0.02372881355932203,0.046163774817271075,0.636999523491242,0.07717453840174138,"(np.float64(0.569), np.float64(0.705))"
Logistic Regression 0.01,0.022598870056497175,0.03389830508474576,0.014124293785310734,0.011299435028248588,0.03672316384180791,0.04419889502762431,0.06557377049180328,0.027855153203342618,0.0223463687150838,0.07084468664850137,0.698699421965318,0.6622807017543859,0.6034383954154727,0.5185714285714286,0.7020076697496053,0.02372881355932203,0.046163774817271075,0.636999523491242,0.07717453840174138,"(np.float64(0.569), np.float64(0.705))"
