Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Decision Tree 2,0.773109243697479,0.9747899159663865,0.9662921348314607,0.8033707865168539,0.7528089887640449,0.047058823529411764,0.0,0.0,0.07894736842105263,0.10204081632653061,0.5344827586206896,0.7370689655172414,0.5836925287356322,0.6099137931034483,0.7067169540229885,0.8540742139552451,0.045609401655399,0.634375,0.08503665722734277,"(np.float64(0.56), np.float64(0.709))"
Decision Tree 3,0.876750700280112,0.6498599439775911,0.9747191011235955,0.8792134831460674,0.8089887640449438,0.043478260869565216,0.10071942446043165,0.0,0.044444444444444446,0.15,0.5068646232439336,0.7183908045977012,0.7498204022988505,0.5393318965517241,0.7983117816091954,0.837906398514462,0.06772842595488826,0.662543901660281,0.1309448522168248,"(np.float64(0.548), np.float64(0.777))"
Decision Tree 4,0.876750700280112,0.9019607843137255,0.699438202247191,0.8089887640449438,0.7640449438202247,0.043478260869565216,0.10256410256410256,0.08547008547008547,0.05555555555555555,0.10638297872340426,0.3756385696040868,0.6992337164750958,0.7442528735632185,0.4637212643678161,0.7252155172413793,0.8102366789412395,0.07869019663654261,0.6016123882503194,0.16972926532436133,"(np.float64(0.453), np.float64(0.75))"
Decision Tree 5,0.7198879551820728,0.8711484593837535,0.9213483146067416,0.8202247191011236,0.851123595505618,0.038461538461538464,0.11538461538461539,0.06666666666666667,0.030303030303030304,0.1016949152542373,0.4099616858237548,0.7504789272030652,0.6426005747126438,0.41900143678160917,0.8128591954022988,0.8367466087558618,0.07050215321401762,0.6069803639846743,0.1860101925302921,"(np.float64(0.444), np.float64(0.77))"
Decision Tree 6,0.7507002801120448,0.7366946778711485,0.8146067415730337,0.7528089887640449,0.8426966292134831,0.02197802197802198,0.11320754716981132,0.10810810810810811,0.043478260869565216,0.0967741935483871,0.4051724137931034,0.7351532567049808,0.695941091954023,0.4292385057471264,0.7139008620689656,0.779501463506751,0.07670922633477875,0.5958812260536399,0.16391839210100867,"(np.float64(0.452), np.float64(0.74))"
Decision Tree 7,0.7759103641456583,0.803921568627451,0.8342696629213483,0.7808988764044944,0.8089887640449438,0.0,0.125,0.09230769230769231,0.04878048780487805,0.05555555555555555,0.36542145593869735,0.7104086845466155,0.7077945402298851,0.5089798850574713,0.572198275862069,0.8007978472287792,0.06432874713362517,0.5729605683269476,0.145119585793744,"(np.float64(0.446), np.float64(0.7))"
Logistic Regression 0.5,0.9495798319327731,0.9523809523809523,0.9438202247191011,0.9269662921348315,0.9269662921348315,0.1,0.2608695652173913,0.16666666666666666,0.07142857142857142,0.1875,0.39048531289910593,0.8087484035759898,0.82183908045977,0.5969827586206896,0.7288074712643677,0.939942718660498,0.15729296066252588,0.6693726053639846,0.17973769377197454,"(np.float64(0.512), np.float64(0.827))"
Logistic Regression 0.3,0.5910364145658263,0.4117647058823529,0.5308988764044944,0.6882022471910112,0.4747191011235955,0.02666666666666667,0.07079646017699115,0.07734806629834254,0.06722689075630252,0.06030150753768844,0.39048531289910593,0.8087484035759898,0.82183908045977,0.5969827586206896,0.7288074712643677,0.5393242690334561,0.06046791828719826,0.6693726053639846,0.17973769377197454,"(np.float64(0.512), np.float64(0.827))"
Logistic Regression 0.03,0.047619047619047616,0.025210084033613446,0.02247191011235955,0.02247191011235955,0.025280898876404494,0.05027932960893855,0.04918032786885246,0.04395604395604396,0.04395604395604396,0.0440771349862259,0.39048531289910593,0.8087484035759898,0.82183908045977,0.5969827586206896,0.7288074712643677,0.028610770150756932,0.046289776075220966,0.6693726053639846,0.17973769377197454,"(np.float64(0.512), np.float64(0.827))"
Logistic Regression 0.01,0.028011204481792718,0.025210084033613446,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.049315068493150684,0.04918032786885246,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.39048531289910593,0.8087484035759898,0.82183908045977,0.5969827586206896,0.7288074712643677,0.024127403770496963,0.04607270564602701,0.6693726053639846,0.17973769377197454,"(np.float64(0.512), np.float64(0.827))"
