Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Decision Tree 2,0.9774011299435028,0.963276836158192,0.9209039548022598,0.7655367231638418,0.9152542372881356,0.0,0.13333333333333333,0.125,0.0,0.11764705882352941,0.671242774566474,0.6777456647398844,0.649385838150289,0.31835748792270524,0.5942028985507246,0.9084745762711863,0.07519607843137255,0.5821869327860154,0.15110300005307237,"(np.float64(0.45), np.float64(0.715))"
Decision Tree 3,0.8333333333333334,0.963276836158192,0.963276836158192,0.8050847457627118,0.9463276836158192,0.14492753623188406,0.13333333333333333,0.13333333333333333,0.0,0.09523809523809523,0.7176661849710984,0.7378973988439307,0.7091763005780347,0.4140096618357488,0.6207729468599034,0.9022598870056499,0.1013664596273292,0.6399044986177432,0.13401731647767554,"(np.float64(0.522), np.float64(0.757))"
Decision Tree 4,0.963276836158192,0.9491525423728814,0.9378531073446328,0.807909604519774,0.9463276836158192,0.3157894736842105,0.25,0.08333333333333333,0.0,0.17391304347826086,0.7465679190751444,0.78125,0.5841763005780347,0.4206119162640901,0.6676328502415458,0.9209039548022598,0.16460717009916095,0.6400477972317631,0.1443253820089089,"(np.float64(0.514), np.float64(0.767))"
Decision Tree 5,0.9152542372881356,0.9661016949152542,0.9293785310734464,0.9350282485875706,0.9322033898305084,0.11764705882352941,0.25,0.07407407407407407,0.0,0.07692307692307693,0.7366329479768786,0.7980491329479769,0.6504696531791907,0.4293075684380032,0.610950080515298,0.9355932203389831,0.10372884196413609,0.6450818766114694,0.1410081025048785,"(np.float64(0.521), np.float64(0.769))"
Decision Tree 6,0.943502824858757,0.9576271186440678,0.9180790960451978,0.8785310734463276,0.923728813559322,0.23076923076923078,0.2857142857142857,0.0,0.044444444444444446,0.06896551724137931,0.6741329479768787,0.8457369942196531,0.5652095375722543,0.37616747181964577,0.48389694041867953,0.9242937853107345,0.12597869563386804,0.5890287784014222,0.18032735731075028,"(np.float64(0.431), np.float64(0.747))"
Decision Tree 7,0.9322033898305084,0.9548022598870056,0.9096045197740112,0.8926553672316384,0.903954802259887,0.14285714285714285,0.2727272727272727,0.0,0.05,0.05555555555555555,0.5180635838150289,0.7960621387283238,0.503070809248555,0.39887278582930763,0.5033816425120773,0.91864406779661,0.10422799422799423,0.5438901920266586,0.14882449150710425,"(np.float64(0.413), np.float64(0.674))"
Logistic Regression 0.5,0.9745762711864406,0.96045197740113,0.9661016949152542,0.9463276836158192,0.9548022598870056,0.4,0.125,0.14285714285714285,0.0,0.2,0.7297687861271677,0.8717485549132948,0.6683526011560694,0.6009661835748792,0.6193236714975846,0.96045197740113,0.17357142857142857,0.6980319594537991,0.10918139202065712,"(np.float64(0.602), np.float64(0.794))"
Logistic Regression 0.3,0.9152542372881356,0.9265536723163842,0.9067796610169492,0.9096045197740112,0.9180790960451978,0.16666666666666666,0.1875,0.10810810810810811,0.1111111111111111,0.21621621621621623,0.7297687861271677,0.8717485549132948,0.6683526011560694,0.6009661835748792,0.6193236714975846,0.9152542372881356,0.1579204204204204,0.6980319594537991,0.10918139202065712,"(np.float64(0.602), np.float64(0.794))"
Logistic Regression 0.03,0.025423728813559324,0.025423728813559324,0.02824858757062147,0.0423728813559322,0.05084745762711865,0.0443213296398892,0.0443213296398892,0.044444444444444446,0.05042016806722689,0.05084745762711865,0.7297687861271677,0.8717485549132948,0.6683526011560694,0.6009661835748792,0.6193236714975846,0.0344632768361582,0.04687094588371367,0.6980319594537991,0.10918139202065712,"(np.float64(0.602), np.float64(0.794))"
Logistic Regression 0.01,0.022598870056497175,0.022598870056497175,0.022598870056497175,0.031073446327683617,0.025423728813559324,0.04419889502762431,0.04419889502762431,0.04419889502762431,0.04986149584487535,0.049586776859504134,0.7297687861271677,0.8717485549132948,0.6683526011560694,0.6009661835748792,0.6193236714975846,0.024858757062146894,0.04640899155745048,0.6980319594537991,0.10918139202065712,"(np.float64(0.602), np.float64(0.794))"
