Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Decision Tree 2,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.6936416184971097,0.49710982658959535,0.4985549132947977,0.563768115942029,0.6024154589371981,0.9757062146892655,0.0,0.571097986652146,0.08183550284301624,"(np.float64(0.499), np.float64(0.643))"
Decision Tree 3,0.9774011299435028,0.9717514124293786,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7557803468208092,0.6936416184971098,0.6421604046242776,0.5429951690821255,0.6790660225442835,0.9751412429378531,0.0,0.6627287123137211,0.07848614338644963,"(np.float64(0.594), np.float64(0.732))"
Decision Tree 4,0.9774011299435028,0.96045197740113,0.9745762711864406,0.9745762711864406,0.9689265536723164,0.0,0.0,0.0,0.0,0.0,0.7512644508670521,0.7521676300578035,0.7214595375722543,0.5426731078904992,0.5334943639291466,0.9711864406779661,0.0,0.660211818063351,0.11221675233274873,"(np.float64(0.562), np.float64(0.759))"
Decision Tree 5,0.9774011299435028,0.9576271186440678,0.9745762711864406,0.9745762711864406,0.9661016949152542,0.0,0.0,0.0,0.0,0.0,0.6826228323699421,0.7471098265895953,0.6470375722543352,0.5317230273752013,0.5429951690821256,0.9700564971751412,0.0,0.6302976855342399,0.09219803916944042,"(np.float64(0.549), np.float64(0.711))"
Decision Tree 6,0.9774011299435028,0.9576271186440678,0.9717514124293786,0.9689265536723164,0.9661016949152542,0.0,0.0,0.0,0.0,0.0,0.7039378612716762,0.7832369942196532,0.6513728323699423,0.44041867954911434,0.5267310789049919,0.9683615819209039,0.0,0.6211394892630755,0.13749380492030355,"(np.float64(0.501), np.float64(0.742))"
Decision Tree 7,0.9774011299435028,0.9576271186440678,0.9689265536723164,0.96045197740113,0.9661016949152542,0.0,0.11764705882352941,0.0,0.0,0.0,0.6710621387283238,0.7790823699421966,0.645592485549133,0.44621578099838966,0.47536231884057967,0.9661016949152541,0.023529411764705882,0.6034630188117245,0.13993138729890622,"(np.float64(0.481), np.float64(0.726))"
Logistic Regression 0.5,0.9774011299435028,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.9757062146892655,0.0,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"
Logistic Regression 0.3,0.9745762711864406,0.9745762711864406,0.9745762711864406,0.9745762711864406,0.9717514124293786,0.0,0.0,0.0,0.0,0.16666666666666666,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.9740112994350282,0.03333333333333333,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"
Logistic Regression 0.03,0.9152542372881356,0.9265536723163842,0.8870056497175142,0.9209039548022598,0.9265536723163842,0.21052631578947367,0.23529411764705882,0.09090909090909091,0.125,0.23529411764705882,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.9152542372881356,0.17940472839853644,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"
Logistic Regression 0.01,0.062146892655367235,0.025423728813559324,0.0847457627118644,0.05367231638418079,0.12429378531073447,0.04597701149425287,0.0443213296398892,0.047058823529411764,0.05099150141643059,0.043209876543209874,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.07005649717514124,0.04631170852463885,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"
